"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1927241160881299623","Tue May 27 05:51:13 +0000 2025","2","WAKIL Ketua Komisi Perlindungan Anak Indonesia (KPAI) Jasra Putra mendesak Gubernur Jawa Barat Dedi Mulyadi atau Kang Dedi Mulyadi (KDM) menghentikan sementara program mengirimkan siswa bermasalah ke barak militer. https://t.co/dMDVhtrIXe","1927241160881299623","","","in","","0","0","0","https://x.com/undefined/status/1927241160881299623","68930552",
"1927228271915110673","Tue May 27 05:00:00 +0000 2025","0","Wakil Ketua Komisi Perlindungan Anak Indonesia (KPAI) Jasra Putra mendesak Gubernur Jawa Barat Dedi Mulyadi menghentikan sementara program mengirimkan siswa bermasalah ke barak militer. https://t.co/dPs7Ts4s0J","1927228271915110673","","","in","","0","1","0","https://x.com/undefined/status/1927228271915110673","68930552",
"1926811901532451076","Tue May 27 03:46:16 +0000 2025","0","@bacottetanggaid masukan mereka ke barak king dedi mulyadi!!","1927209713617285360","","bacottetanggaid","in","","0","0","0","https://x.com/undefined/status/1927209713617285360","1794219600055549952",
"1927202006579486971","Tue May 27 03:15:38 +0000 2025","5","Dua Kepala Daerah di Jawa Tengah ikuti Jejak Gubernur Dedi Mulyadi kirim Anak bau Kencur ke Barak militer https://t.co/BPOfsK1OBW","1927202006579486971","","","in","","0","2","3","https://x.com/undefined/status/1927202006579486971","30201110",
"1927186747626074506","Tue May 27 02:15:00 +0000 2025","0","Tak Hanya Siswa Bermasalah Dedi Mulyadi Akan Perluas Pendidikan Barak Militer hingga Libatkan Siswa Berprestasi https://t.co/9PJEhbrADS","1927186747626074506","","","in","","0","0","0","https://x.com/undefined/status/1927186747626074506","2392460208",
"1927182523576050036","Tue May 27 01:58:13 +0000 2025","2","y all need stop glorifying kang dedi mulyadi esp about barak blusukan etc. honestly kebijakan nya terlalu narsis dan ga menyelesaikan masalah di jawa barat","1927182523576050036","","","in","","0","0","1","https://x.com/undefined/status/1927182523576050036","1146256276621389824",
"1927180768528248943","Tue May 27 01:51:15 +0000 2025","1","Cocok ini masuk barak Pak gubernur dedi mulyadi","1927180768528248943","","","in","","0","0","0","https://x.com/undefined/status/1927180768528248943","1376172927679221766",
"1927176001437524354","Tue May 27 01:32:18 +0000 2025","0","Program Barak Militer ala Kang Dedi Mulyadi oleh Hadi Asrori Mahasiswa Magister Ilmu Linguistik Harian Disway 21 Mei 2025 https://t.co/tEgvmfYcSn https://t.co/q1UWo5Obw6","1927176001437524354","https://pbs.twimg.com/media/Gr60UNiWkAA2kGP.jpg","","in","","0","0","0","https://x.com/undefined/status/1927176001437524354","311864448",
"1927171441100779948","Tue May 27 01:14:11 +0000 2025","0","KPAI Desak Dedi Mulyadi Hentikan Pengiriman Siswa ke Barak Militer https://t.co/gzR5WFO0Te","1927171441100779948","","","in","","0","0","0","https://x.com/undefined/status/1927171441100779948","1601481087464919045",
"1926919543466725510","Mon May 26 23:43:41 +0000 2025","0","@OniDewono @kompascom Program Gubernur Jawa Barat Dedi Mulyadi mengirim siswa nakal ke barak militer menuai kritik dari KPAI karena potensi pelanggaran hak anak sesuai UU No. 35/2014 dan UNCRC seperti hak pendidikan dan perlindungan dari bahaya. Laporan menyebut anak-anak mengalami kelelahan dan","1927148668232069393","","OniDewono","in","","0","0","0","https://x.com/undefined/status/1927148668232069393","1720665183188922368",
"1927146582345953528","Mon May 26 23:35:24 +0000 2025","0","Program Barak Militer Dedi Mulyadi Kini Ditentang Federasi Guru Dadukan ke Mendikdasmen https://t.co/C9zet8Pq6p https://t.co/Y2mX6uxzwe","1927146582345953528","https://pbs.twimg.com/media/Gr6ZlkuWoAEFQqn.jpg","","in","","0","0","0","https://x.com/undefined/status/1927146582345953528","1906904118050107392",
"1927145195637743728","Mon May 26 23:29:53 +0000 2025","0","Program Barak Militer Banjir Kritik Dedi Mulyadi Buat Gebrakan Baru: Berikutnya Anak-anak Pintar! https://t.co/sFabD5EAou https://t.co/nDJck8JQ4v","1927145195637743728","https://pbs.twimg.com/media/Gr6YU3BXoAAj9VB.jpg","","in","","0","0","0","https://x.com/undefined/status/1927145195637743728","1906904118050107392",
"1927138654536765863","Mon May 26 23:03:54 +0000 2025","5","Dua kepala daerah di Jateng menggulirkan gagasan pengiriman remaja pelanggar ke barak militer sebagai bentuk pembinaan seperti yang sudah dimulai Gubernur Jabar Dedi Mulyadi. / #militer #remaja https://t.co/NzxPeavZI2","1927138654536765863","","","in","","0","0","2","https://x.com/undefined/status/1927138654536765863","23343960",
"1927108756216611148","Mon May 26 21:05:06 +0000 2025","0","Dedi Mulyadi Tanggapi Bobotoh Persib Bandung yang Rusak Fasilitas Stadion Barak Militer? #TribunKaltim #DediMulyadi #PersibBandung #Bobotoh https://t.co/DrS73wiXK1 lewat @tribunnews","1927108756216611148","","","in","","0","0","0","https://x.com/undefined/status/1927108756216611148","103551225",
"1927032840396427531","Mon May 26 16:03:26 +0000 2025","1","kya besar di barak sm kang dedi mulyadi","1927032840396427531","","","in","","0","0","0","https://x.com/undefined/status/1927032840396427531","758556050538790912",
"1925138018404626560","Mon May 26 15:47:42 +0000 2025","0","@jmke minat 1000 bonding sama Hans sampe dipisahin kang dedi mulyadi ke barak masing masing. waktu kecil suka nonton bedah rumah kalo sore sambil di sisirin mamah sampe dangak dangak karena rambutnya ketarik. kalo kamu sendiri suka nonton reality show apa nih di TV?","1927028880096780581","","jmke","in","","0","0","0","https://x.com/undefined/status/1927028880096780581","879985316",
